algae,sampledate
2.94,2020/4/1
3.33,2020/4/2
3.14,2020/4/3
2.54,2020/4/4
2.56,2020/4/5
3.72,2020/4/6
3.45,2020/4/7
3.18,2020/4/8
2.72,2020/4/9
3.19,2020/4/10
3.83,2020/4/11
3.53,2020/4/12
1.99,2020/4/13
1.98,2020/4/14
1.97,2020/4/15
1.91,2020/4/16
2.03,2020/4/17
1.82,2020/4/18
1.98,2020/4/19
2.21,2020/4/20
1.99,2020/4/21
2.19,2020/4/22
2.37,2020/4/23
2.51,2020/4/24
2.31,2020/4/25
1.53,2020/4/26
2.27,2020/4/27
1.97,2020/4/28
1.89,2020/4/29
1.5,2020/4/30
2.11,2020/5/1
2.25,2020/5/2
2.46,2020/5/3
2.75,2020/5/4
2.69,2020/5/5
2.84,2020/5/6
2.75,2020/5/7
2.24,2020/5/8
2.73,2020/5/9
2.16,2020/5/10
1.73,2020/5/11
1.08,2020/5/12
1.14,2020/5/13
0.69,2020/5/14
0.61,2020/5/15
0.07,2020/5/16
0.06,2020/5/17
0.03,2020/5/27
0.07,2020/5/28
0.07,2020/5/29
0.07,2020/5/30
0.09,2020/5/31
0.14,2020/6/1
0.17,2020/6/2
0.21,2020/6/3
0.17,2020/6/4
0.22,2020/6/5
0.32,2020/6/6
0.42,2020/6/7
0.52,2020/6/8
0.48,2020/6/9
0.37,2020/6/10
0.27,2020/6/11
0.21,2020/6/12
0.16,2020/6/13
0.16,2020/6/14
0.16,2020/6/15
0.17,2020/6/16
0.17,2020/6/17
0.3,2020/6/18
0.31,2020/6/19
0.31,2020/6/20
0.27,2020/6/21
0.31,2020/6/22
0.24,2020/6/23
0.23,2020/6/24
0.2,2020/6/25
0.22,2020/6/26
0.23,2020/6/27
0.26,2020/6/28
0.34,2020/6/29
0.32,2020/6/30
0.66,2020/7/1
1.69,2020/7/2
1.54,2020/7/3
1.42,2020/7/4
1.24,2020/7/5
1.34,2020/7/6
1.25,2020/7/7
1.22,2020/7/8
1.29,2020/7/9
1.18,2020/7/10
1.27,2020/7/11
1.43,2020/7/12
1.21,2020/7/13
1.08,2020/7/14
1.15,2020/7/15
0.89,2020/7/16
0.95,2020/7/17
0.86,2020/7/18
0.9,2020/7/19
0.83,2020/7/20
0.6,2020/7/21
0.58,2020/7/22
0.62,2020/7/23
0.52,2020/7/24
0.53,2020/7/25
0.51,2020/7/26
0.49,2020/7/27
0.49,2020/7/28
0.5,2020/7/29
0.52,2020/7/30
0.53,2020/7/31
0.53,2020/8/1
0.53,2020/8/2
0.59,2020/8/3
0.59,2020/8/4
0.61,2020/8/5
0.58,2020/8/6
0.58,2020/8/7
0.62,2020/8/8
0.67,2020/8/9
0.55,2020/8/10
0.43,2020/8/11
0.4,2020/8/12
0.34,2020/8/13
0.32,2020/8/14
0.43,2020/8/15
0.45,2020/8/16
0.42,2020/8/17
0.41,2020/8/18
0.4,2020/8/19
0.46,2020/8/20
0.44,2020/8/21
0.49,2020/8/22
0.43,2020/8/23
0.44,2020/8/24
0.55,2020/8/25
0.6,2020/8/26
0.65,2020/8/27
0.68,2020/8/28
0.7,2020/8/29
0.68,2020/8/30
0.73,2020/8/31
0.78,2020/9/1
0.71,2020/9/2
0.7,2020/9/3
0.77,2020/9/4
0.97,2020/9/5
0.88,2020/9/6
0.88,2020/9/7
0.76,2020/9/8
0.67,2020/9/9
0.68,2020/9/10
0.66,2020/9/11
0.69,2020/9/12
0.76,2020/9/13
1.04,2020/9/14
0.76,2020/9/15
1.56,2020/9/16
1.31,2020/9/17
1.15,2020/9/18
1.09,2020/9/19
0.86,2020/9/20
0.92,2020/9/21
1.03,2020/9/22
1,2020/9/23
1.01,2020/9/24
0.78,2020/9/25
0.87,2020/9/26
1.14,2020/9/27
0.83,2020/9/28
0.84,2020/9/29
0.81,2020/9/30
0.86,2020/10/1
0.85,2020/10/2
0.68,2020/10/3
0.78,2020/10/4
0.91,2020/10/5
0.88,2020/10/6
0.95,2020/10/7
1.38,2020/10/8
0.86,2020/10/9
1.25,2020/10/10
0.86,2020/10/11
0.72,2020/10/12
0.75,2020/10/13
0.97,2020/10/14
0.89,2020/10/15
0.88,2020/10/16
1.04,2020/10/17
0.82,2020/10/18
0.98,2020/10/19
1.34,2020/10/20
1.09,2020/10/21
0.53,2020/10/22
0.89,2020/10/23
0.72,2020/10/24
1,2020/10/25
0.81,2020/10/26
0.62,2020/10/27
0.51,2020/10/28
0.42,2020/10/29
0.53,2020/10/30
0.47,2020/10/31
0.17,2020/11/1
0.13,2020/11/2
0.11,2020/11/3
0.06,2020/11/4
0.06,2020/11/5
0.03,2020/11/6
