biovolume,algae,ug
12896.478,0.01289648,1.110471189
1318.309,0.00131831,0.120017546
1836.703,0.001836705,0.264039408
805295.908,0.80529592,2.905955499
514538.8875,0.514538885,2.711418201
6240105.338,6.240105335,3.795191921
4630131.71,4.630131717,3.665593346
774004.2153,0.77400422,2.888743329
2185786.414,2.18578642,3.339607723
612528.612,0.61252861,2.787126379
786691.735,0.78669174,2.89580459
187854.251,0.18785425,2.273821025
57096.217,0.057096225,1.756607395
81729.61767,0.081729613,1.912379444
47502.2635,0.047502265,1.676714318
4232754.371,4.23275437,3.626623067
1544821.772,1.544821775,3.188878382
1161628.452,1.16162846,3.065067244
555439.31,0.55543932,2.744636621
296162.429,0.29616244,2.471529979
68664.556,0.06866455,1.836732578
17684.287,0.01768429,1.247587628
24137.4315,0.02413743,1.382691027
1221674.875,1.221674875,3.086955642
719488.6645,0.719488675,2.857023962
1391105.389,1.3911054,3.143360036
3160360.4,3.160360405,3.499736612
366609.028,0.36660903,2.564203158
1011104.417,1.01110442,3.004796009
864.503,0.00086451,-0.063229979
5220.6335,0.00522063,0.717722915
7354.3365,0.007354335,0.866543409
6495451.419,6.49545143,3.81260934
1746889.98,1.746889975,3.242265553
3394471.254,3.394471255,3.530772135
743484.084,0.74348408,2.871271674
386442.34,0.38644236,2.587084726
34648.617,0.03464863,1.539686067
17770.739,0.01777074,1.249705513
4638.71,0.00463871,0.666397222
155337.608,0.15533761,2.191276619
89144.6095,0.089144615,1.950095114
1340705.352,1.340705355,3.127333344
6554851.168,6.554851175,3.816562836
2418666.868,2.418666877,3.383576057
3172844.082,3.17284408,3.501448731
5036820.63,5.03682064,3.702156486
1591817.735,1.59181773,3.201893338
37249.325,0.03724933,1.571118466
8788.381,0.00878838,0.943908827
47171.7585,0.047171755,1.673682034
74769.214,0.074769215,1.873722821
204831.767,0.204831765,2.311397307
2958924.543,2.958924545,3.47113389
5402612.344,5.402612347,3.732603807
9510634.044,9.510634045,3.978209471
1249314.264,1.24931427,3.096671701
136486.933,0.13648694,2.135091097
17752.273,0.01775227,1.249253895
36578.106,0.03657811,1.563221262
12092.545,0.01209255,1.082517892
15176.015,0.015176015,1.181157747
37292.6505,0.037292655,1.571623303
4144463.243,4.144468367,3.617468829
2890558.051,2.8905,3.460972974
6108894.343,6.1088,3.785955907
53965.1247,0.0539,1.731588765
17204.30195,0.01719557,1.235416576
55620.2373,0.0556,1.745074792
20453.56,0.02045,1.310693312
24586.86745,0.0246,1.390935107
21456.6167,0.0215,1.33243846
1284947.094,1.284933333,3.108880596
1856686.185,1.85665,3.268730042
551407.3901,0.5514,2.741466762
268589.5564,0.2686,2.429106008
3770.7615,0.0038,0.579783597
34257.2106,0.034266667,1.53487186
87681.1417,0.08765,1.94275192
2396194.879,2.3961,3.379504939
1855974.865,1.8561,3.268601371
1388193.433,1.38825,3.142467682
577304.1954,0.5773,2.761401557
379641.9072,0.3797,2.579440597
